0 0 0 0 0 0 
0.05 -0.0245 -0.49 0 0 0 
0.1 -0.0735 -0.98 0 0 0 
0.15 -0.147 -1.47 0 0 0 
0.2 -0.245 -1.96 0 0 0 
0.25 -0.3675 -2.45 0 0 0 
0.3 -0.5145 -2.94 0 0 0 
0.35 -0.686 -3.43 0 0 0 
0.4 -0.882 -3.92 0 0 0 
0.45 -1.1025 -4.41 0 0 0 
0.5 -1.3475 -4.9 0 0 0 
0.55 -1.617 -5.39 0 0 0 
0.6 -1.911 -5.88 0 0 0 
0.65 -2.2295 -6.37 0 0 0 
0.7 -2.5725 -6.86 0 0 0 
0.75 -2.94 -7.35 0 0 0 
0.8 -3.332 -7.84 0 0 0 
0.85 -3.7485 -8.33 0 0 0 
0.9 -4.1895 -8.82 0 0 0 
0.95 -4.655 -9.31 0 0 0 
1 -5.145 -9.8 0 0 0 
1.05 -5.6595 -10.29 0 0 0 
1.1 -6.1985 -10.78 0 0 0 
1.15 -6.762 -11.27 0 0 0 
1.2 -7.35 -11.76 0 0 0 
1.25 -7.9625 -12.25 0 0 0 
1.3 -8.5995 -12.74 0 0 0 
1.35 -9.261 -13.23 0 0 0 
1.4 -9.947 -13.72 0 0 0 
1.45 -10.6575 -14.21 0 0 0 
1.5 -11.3925 -14.7 0 0 0 
1.55 -12.152 -15.19 0 0 0 
1.6 -12.936 -15.68 0 0 0 
1.65 -13.7445 -16.17 0 0 0 
1.7 -14.5775 -16.66 0 0 0 
1.75 -15.435 -17.15 0 0 0 
1.8 -16.317 -17.64 0 0 0 
1.85 -17.2235 -18.13 0 0 0 
1.9 -18.1545 -18.62 0 0 0 
1.95 -19.11 -19.11 0 0 0 
2 -20.09 -19.6 0 0 0 
2.05 -21.0945 -20.09 0 0 0 
2.1 -22.1235 -20.58 0 0 0 
2.15 -23.177 -21.07 0 0 0 
2.2 -24.255 -21.56 0 0 0 
2.25 -25.3575 -22.05 0 0 0 
2.3 -26.4845 -22.54 0 0 0 
2.35 -27.636 -23.03 0 0 0 
2.4 -28.812 -23.52 0 0 0 
2.45 -30.0125 -24.01 0 0 0 
2.5 -31.2375 -24.5 0 0 0 
2.55 -32.487 -24.99 0 0 0 
2.6 -33.761 -25.48 0 0 0 
2.65 -35.0595 -25.97 0 0 0 
2.7 -36.3825 -26.46 0 0 0 
2.75 -37.73 -26.95 0 0 0 
2.8 -39.102 -27.44 0 0 0 
2.85 -40.4985 -27.93 0 0 0 
2.9 -41.9195 -28.42 0 0 0 
2.95 -43.365 -28.91 0 0 0 
3 -44.835 -29.4 0 0 0 
3.05 -46.3295 -29.89 0 0 0 
3.1 -47.8485 -30.38 0 0 0 
3.15 -49.392 -30.87 0 0 0 
3.2 -50.96 -31.36 0 0 0 
3.25 -52.5525 -31.85 0 0 0 
3.3 -54.1695 -32.34 0 0 0 
3.35 -55.811 -32.83 0 0 0 
3.4 -57.477 -33.32 0 0 0 
3.45 -59.1675 -33.81 0 0 0 
3.5 -60.8825 -34.3 0 0 0 
3.55 -62.622 -34.79 0 0 0 
3.6 -64.386 -35.28 0 0 0 
3.65 -66.1745 -35.77 0 0 0 
3.7 -67.9875 -36.26 0 0 0 
3.75 -69.825 -36.75 0 0 0 
3.8 -71.687 -37.24 0 0 0 
3.85 -73.5735 -37.73 0 0 0 
3.9 -75.4845 -38.22 0 0 0 
3.95 -77.42 -38.71 0 0 0 
4 -79.38 -39.2 0 0 0 
4.05 -81.3645 -39.69 0 0 0 
4.1 -83.3735 -40.18 0 0 0 
4.15 -85.407 -40.67 0 0 0 
4.2 -87.465 -41.16 0 0 0 
4.25 -89.5475 -41.65 0 0 0 
4.3 -91.6545 -42.14 0 0 0 
4.35 -93.786 -42.63 0 0 0 
4.4 -95.942 -43.12 0 0 0 
4.45 -98.1225 -43.61 0 0 0 
4.5 -100.327 -44.1 0 0 0 
4.55 -102.557 -44.59 0 0 0 
4.6 -104.811 -45.08 0 0 0 
4.65 -107.089 -45.57 0 0 0 
4.7 -109.392 -46.06 0 0 0 
4.75 -111.72 -46.55 0 0 0 
4.8 -114.072 -47.04 0 0 0 
4.85 -116.448 -47.53 0 0 0 
4.9 -118.849 -48.02 0 0 0 
4.95 -121.275 -48.51 0 0 0 
5 -123.725 -49 0 0 0 
5.05 -126.199 -49.49 0 0 0 
5.1 -128.698 -49.98 0 0 0 
5.15 -131.222 -50.47 0 0 0 
5.2 -133.77 -50.96 0 0 0 
5.25 -136.342 -51.45 0 0 0 
5.3 -138.939 -51.94 0 0 0 
5.35 -141.561 -52.43 0 0 0 
5.4 -144.207 -52.92 0 0 0 
5.45 -146.877 -53.41 0 0 0 
5.5 -149.572 -53.9 0 0 0 
5.55 -152.292 -54.39 0 0 0 
5.6 -155.036 -54.88 0 0 0 
5.65 -157.804 -55.37 0 0 0 
5.7 -160.597 -55.86 0 0 0 
5.75 -163.415 -56.35 0 0 0 
5.8 -166.257 -56.84 0 0 0 
5.85 -169.124 -57.33 0 0 0 
5.9 -172.014 -57.82 0 0 0 
5.95 -174.93 -58.31 0 0 0 
6 -177.87 -58.8 0 0 0 
6.05 -180.835 -59.29 0 0 0 
6.1 -183.824 -59.78 0 0 0 
6.15 -186.837 -60.27 0 0 0 
6.2 -189.875 -60.76 0 0 0 
6.25 -192.938 -61.25 0 0 0 
6.3 -196.025 -61.74 0 0 0 
6.35 -199.136 -62.23 0 0 0 
6.4 -202.272 -62.72 0 0 0 
6.45 -205.433 -63.21 0 0 0 
6.5 -208.618 -63.7 0 0 0 
6.55 -211.827 -64.19 0 0 0 
